global_sweep,stage,stage_sweep,degree,n_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,sweep_seconds,elapsed_seconds,is_best
0,0,0,5,56,0.31440605035288205,0.23160942667444814,0.13473735542822465,0.3480028065117836,0.3171086495731876,0.6125266226358274,0.19393322899550106,0.008335480104210168,0.3280754587656217,0.02849847562361876,3.1333170279394835,3.317103350069374,1
1,0,1,5,56,0.16955792911752587,0.13281734126783457,0.10728413681683595,0.2845761126893045,0.25634946001312425,0.3564678276556033,0.23132300726060817,0.02468908602706834,0.1601190563035943,0.01917098228484636,2.9781991099007428,6.295386759098619,1
2,0,2,5,56,0.1050960904770794,0.08814598360727555,0.08870504096095465,0.23999146231721116,0.21126841055312956,0.23836806137138902,0.107457559301834,0.0185860995735099,0.07699903493211575,0.014992002089788438,2.97553493315354,9.271005366928875,1
3,0,3,5,56,0.07413930643557425,0.06439226540522827,0.07634046085291366,0.2072040240388171,0.1806124932591542,0.17731322357059964,0.05402032146513681,0.013966725238684335,0.043545423666670004,0.011691267057809481,2.982876030029729,12.253962483955547,1
4,0,4,5,56,0.05619051093498619,0.049604846813900004,0.06777375861043436,0.18317897377050574,0.15942406247303478,0.14005566137324024,0.03256367616179666,0.010784958436007436,0.0281963640649379,0.009109325650750186,2.9851332979742438,15.239177966024727,1
5,0,5,5,56,0.044383126820950025,0.03954432968847966,0.0615610402723455,0.1654297358974562,0.1443069485419209,0.11490112495336738,0.022025051387667926,0.008452854059264391,0.01963123105378229,0.007143366842939958,2.9864168618805707,18.225677686044946,1
6,0,6,5,56,0.036088538027446444,0.032378466992054676,0.05685847202621479,0.15203358264133174,0.1331306213195859,0.09698342541559288,0.01580529168739087,0.006715060086647497,0.014226369410804001,0.005680078733602525,2.988720959983766,21.21447840309702,1
7,0,7,5,56,0.03006455012814267,0.02714910913534358,0.0531528690900348,0.1416227613589066,0.12453607406062918,0.08382954280543983,0.011717438457638998,0.005426403126715713,0.01057372589436017,0.0046043873506348,2.99404633580707,24.208605262916535,1
8,0,8,5,56,0.025610020734972986,0.023277803202168018,0.05012144584664486,0.13326088217274987,0.11764760428559899,0.07397867258297589,0.008869316688841463,0.004474892680284822,0.008005070372221815,0.003819029810382592,2.9910052539780736,27.199692221125588,1
9,0,9,5,56,0.02227669015231266,0.02038047163700515,0.04755649033505441,0.1263169249688547,0.111899314901723,0.06647878577637559,0.006818924100617148,0.0037739600257897933,0.006153962948186433,0.003248583542313641,2.9909630669280887,30.190737549914047,1
