global_sweep,window,window_sweep,degree_min,degree_max,window_terms,cumulative_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,is_best
481,2,101,2,7,116,120,4.243762098801928e-05,3.839545029133348e-05,0.00624748658769688,0.0007935383789885393,0.0007825927970409899,0.0002384461888823057,0.0001518729260685477,0.00030355968923843305,8.212031452276251e-05,0.00017659593389791659,1
482,2,102,2,7,116,120,4.2395564700652155e-05,3.8355274278510976e-05,0.006247497033038525,0.0007925574703737031,0.0007815409817549481,0.0002381606841920283,0.000152054209314865,0.00030235702151214597,8.399208572100343e-05,0.0001812035816566217,1
483,2,103,2,7,116,120,4.235416957724212e-05,3.8315447760148906e-05,0.0062475070846712815,0.0007915794656946618,0.0007804919415603852,0.00023787675806289575,0.00015222406763228517,0.0003011631850813301,8.581781279149983e-05,0.00018570023676268277,1
484,2,104,2,7,116,120,4.2313411952626606e-05,3.827596641669347e-05,0.006247516743985303,0.000790604320530225,0.0007794456250203677,0.00023759437292437935,0.00015238256066274963,0.0002999777154204518,8.759829035787713e-05,0.00019008810972556453,1
485,2,105,2,7,116,120,4.227326918726972e-05,3.823682588589632e-05,0.006247526012601583,0.0007896319914510594,0.0007784019824237678,0.00023731349246064877,0.00015252976146350696,0.000298800177385776,8.933434674952735e-05,0.00019436944019898448,1
486,2,106,2,7,116,120,4.223371961683956e-05,3.819802176935498e-05,0.006247534892357154,0.0007886624359988464,0.0007773609657258964,0.00023703408155866884,0.00015266575629037908,0.0002976301659771196,9.102683440526392e-05,0.00019854648100021207,1
487,2,107,2,7,116,120,4.219474250460959e-05,3.815954963884308e-05,0.006247543385290859,0.0007876956126658462,0.0007763225284904971,0.000236756106259087,0.00015279064171663033,0.00029646730097755675,9.267662143573886e-05,0.00020262148411372821,1
488,2,108,2,7,116,120,4.215631799646786e-05,3.812140504244354e-05,0.006247551493629745,0.0007867314808743625,0.0007752866258341726,0.0002364795337097649,0.00015290452514509366,0.000295311229203958,9.428458548993637e-05,0.00020659669118746013,1
489,2,109,2,7,116,120,4.211842707839171e-05,3.8083583510439275e-05,0.006247559219776107,0.0007857700009563498,0.0007742532143722507,0.00023620433212169102,0.00015300752214972714,0.00029416161937266,9.585160850274933e-05,0.00021047432556635354,1
490,2,110,2,7,116,120,4.2081051536247945e-05,3.8046080560959435e-05,0.006247566566295058,0.0007848111341332015,0.0007732222521666127,0.00023593047072718878,0.00015309975754817593,0.0002930181653647802,9.73785720265555e-05,0.00021425658511957932,1
